,BUS_ID,BUS_NAME,VBASEKV,TP,S,GSHT_MW,BSHMVAR,ARE,ZON,MODV_PU,ANGV_DEG,VMXN_PU,VMNN_PU,VMXE_PU,VMNE_PU,OWN_x,SUB,ARG,ID_x,ST_x,PL_MW,QL_MVAR,IPL_MW,IQL_MVAR,ZPL_MW,ZQL_MVAR,OWN_y,R0_x,X0_x,Name,ID_y,PG_MW,QG_MVAR,QMX_MVAR,QMN_MVAR,VSPECPU,BCO_ID,BASE_MVA,RTRF_PU,XTRF_PU,TAP_PU,ST_y,FP%,PMAX_MW,PMIN_MW,GRP,BLOCKED,OWNER,CONECTION,R1,X1,R2,X2,R0_y,X0_y,RGRD,XGRD,XQ,SF,MAXANG,TYPE,NAME,NMAX,NON
0,1,1,138.0000,2,0,0.000,0.000,1,1,1.045000,-8.9563,1.10000,0.90000,1.10000,0.90000,1,1,0,,,,,,,,,,,,,1,250.000,196.003,9900.000,-9900.000,1.04500,1,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.5000E-01,0.000,0.2000,0.000,0.3500E-01,0.2000E-06,0.4501E-02,2.000,1.000,80.00,0,Unnamed,0,0
1,2,2,138.0000,2,0,0.000,0.000,1,1,0.980000,-0.9835,1.10000,0.90000,1.10000,0.90000,1,2,0,,,,,,,,,,,,,1,545.000,70.010,9900.000,-9900.000,0.98000,2,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.1000,0.000,0.2000,0.000,0.7000E-01,0.2000E-06,0.4264E-02,2.000,1.000,80.00,0,Unnamed,0,0
2,3,3,138.0000,2,0,0.000,0.000,1,1,0.983000,1.6129,1.10000,0.90000,1.10000,0.90000,1,3,0,1,0,0.000,50.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,1,650.000,80.783,9900.000,-9900.000,0.98300,3,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.9000E-01,0.000,0.2000,0.000,0.6300E-01,0.2000E-06,0.4312E-02,2.000,1.000,80.00,0,Unnamed,0,0
3,4,4,138.0000,2,0,0.000,0.000,1,1,0.997000,1.6683,1.10000,0.90000,1.10000,0.90000,1,4,0,,,,,,,,,,,,,1,632.000,0.268,9900.000,-9900.000,0.99700,4,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.7000E-01,0.000,0.2000,0.000,0.4900E-01,0.2000E-06,0.4406E-02,2.000,1.000,80.00,0,Unnamed,0,0
4,5,5,138.0000,2,0,0.000,0.000,1,1,1.011000,-0.6276,1.10000,0.90000,1.10000,0.90000,1,4,0,,,,,,,,,,,,,1,505.000,116.573,9900.000,-9900.000,1.01100,5,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.1000,0.000,0.2000,0.000,0.7000E-01,0.2000E-06,0.4264E-02,2.000,1.000,80.00,0,Unnamed,0,0
5,6,6,138.0000,2,0,0.000,0.000,1,1,1.050000,3.8425,1.10000,0.90000,1.10000,0.90000,1,5,0,,,,,,,,,,,,,1,700.000,254.488,9900.000,-9900.000,1.05000,6,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.8000E-01,0.000,0.2000,0.000,0.5600E-01,0.2000E-06,0.4359E-02,2.000,1.000,80.00,0,Unnamed,0,0
6,7,7,138.0000,2,0,0.000,0.000,1,1,1.063000,6.0307,1.10000,0.90000,1.10000,0.90000,1,6,0,,,,,,,,,,,,,1,560.000,290.832,9900.000,-9900.000,1.06300,7,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.8000E-01,0.000,0.2000,0.000,0.5600E-01,0.2000E-06,0.4359E-02,2.000,1.000,80.00,0,Unnamed,0,0
7,8,8,138.0000,2,0,0.000,0.000,1,1,1.030000,-2.8410,1.10000,0.90000,1.10000,0.90000,1,7,0,,,,,,,,,,,,,1,540.000,49.075,9900.000,-9900.000,1.03000,8,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.9000E-01,0.000,0.2000,0.000,0.6300E-01,0.2000E-06,0.4312E-02,2.000,1.000,80.00,0,Unnamed,0,0
8,9,9,138.0000,2,0,0.000,0.000,1,1,1.025000,2.6524,1.10000,0.90000,1.10000,0.90000,1,8,0,,,,,,,,,,,,,1,800.000,59.807,9900.000,-9900.000,1.02500,9,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.9000E-01,0.000,0.2000,0.000,0.6300E-01,0.2000E-06,0.4312E-02,2.000,1.000,80.00,0,Unnamed,0,0
9,10,10,138.0000,2,0,0.000,0.000,2,1,1.010000,-9.6439,1.10000,0.90000,1.10000,0.90000,1,9,0,,,,,,,,,,,,,1,500.000,-13.104,9900.000,-9900.000,1.01000,10,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.8000E-01,0.000,0.2000,0.000,0.5600E-01,0.2000E-06,0.4359E-02,2.000,1.000,80.00,0,Unnamed,0,0
10,11,11,138.0000,2,0,0.000,0.000,2,1,1.000000,-7.2245,1.10000,0.90000,1.10000,0.90000,1,10,0,,,,,,,,,,,,,1,1000.000,8.322,9900.000,-9900.000,1.00000,11,600.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.7200E-01,0.000,0.6000,0.000,0.5040E-01,0.6000E-06,0.1387E-01,6.000,1.000,80.00,0,Unnamed,0,0
11,12,12,138.0000,2,0,0.000,0.000,2,1,1.015600,-22.6313,1.10000,0.90000,1.10000,0.90000,1,11,0,,,,,,,,,,,,,1,1350.000,280.056,9900.000,-9900.000,1.01560,12,200.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.5000E-01,0.000,0.2000,0.000,0.3500E-01,0.2000E-06,0.4501E-02,2.000,1.000,80.00,0,Unnamed,0,0
12,13,13,138.0000,2,0,0.000,0.000,2,1,1.011000,-28.6539,1.10000,0.90000,1.10000,0.90000,1,12,0,,,,,,,,,,,,,1,3591.000,885.038,9900.000,-9900.000,1.01100,13,6000.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.1200,0.000,6.000,0.000,0.8400E-01,0.6000E-05,0.1416,60.00,1.000,80.00,0,Unnamed,0,0
13,14,14,138.0000,2,0,0.000,0.000,3,1,1.000000,10.9620,1.10000,0.90000,1.10000,0.90000,1,13,0,,,,,,,,,,,,,1,1785.000,47.483,9900.000,-9900.000,1.00000,14,3000.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.6900E-01,0.000,3.000,0.000,0.4830E-01,0.3000E-05,0.7074E-01,30.00,1.000,80.00,0,Unnamed,0,0
14,15,15,138.0000,2,0,0.000,0.000,4,1,1.000000,0.0168,1.10000,0.90000,1.10000,0.90000,1,14,0,,,,,,,,,,,,,1,1000.000,76.728,9900.000,-9900.000,1.00000,15,3000.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.6900E-01,0.000,3.000,0.000,0.4830E-01,0.3000E-05,0.7074E-01,30.00,1.000,80.00,0,Unnamed,0,0
15,16,16,138.0000,3,0,0.000,0.000,5,1,1.000000,0.0000,1.10000,0.90000,1.10000,0.90000,1,15,0,,,,,,,,,,,,,1,3379.532,93.641,9900.000,-9900.000,1.00000,16,6000.000,0.00000,0.00000,1.00000,1,100.0,9999.000,0.000,1,0,1,1,0.000,0.1650,0.000,6.000,0.000,0.1155,0.6000E-05,0.1414,60.00,1.000,80.00,0,Unnamed,0,0
16,17,17,138.0000,0,0,0.000,0.000,2,1,0.949926,-36.0269,1.10000,0.90000,1.10000,0.90000,1,12,0,1,1,6000.000,300.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,18,138.0000,0,0,0.000,0.000,5,1,1.002332,-5.8054,1.10000,0.90000,1.10000,0.90000,1,15,0,2,1,2470.000,123.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,19,138.0000,0,0,0.000,0.000,1,1,0.931977,-4.2634,1.10000,0.90000,1.10000,0.90000,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,20,138.0000,0,0,0.000,0.000,1,1,0.980613,-5.8744,1.10000,0.90000,1.10000,0.90000,1,4,0,3,1,680.000,103.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,21,138.0000,0,0,0.000,0.000,1,1,0.960245,-7.0539,1.10000,0.90000,1.10000,0.90000,1,16,0,4,1,274.000,115.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,22,138.0000,0,0,0.000,0.000,1,1,0.993681,-1.8010,1.10000,0.90000,1.10000,0.90000,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,23,138.0000,0,0,0.000,0.000,1,1,0.996110,-2.1606,1.10000,0.90000,1.10000,0.90000,1,17,0,5,1,248.000,85.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,24,138.0000,0,0,0.000,0.000,1,1,0.958704,-9.8767,1.10000,0.90000,1.10000,0.90000,1,18,0,6,1,309.000,-92.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,25,138.0000,0,0,0.000,0.000,1,1,0.998104,-9.9995,1.10000,0.90000,1.10000,0.90000,1,7,0,7,1,224.000,47.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,26,138.0000,0,0,0.000,0.000,1,1,0.986860,-11.0194,1.10000,0.90000,1.10000,0.90000,1,19,0,8,1,139.000,17.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,27,138.0000,0,0,0.000,0.000,1,1,0.967894,-12.8571,1.10000,0.90000,1.10000,0.90000,1,20,0,9,1,281.000,76.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,28,138.0000,0,0,0.000,0.000,1,1,0.989733,-7.4968,1.10000,0.90000,1.10000,0.90000,1,21,0,10,1,206.000,28.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,29,138.0000,0,0,0.000,0.000,1,1,0.992090,-4.5464,1.10000,0.90000,1.10000,0.90000,1,8,0,11,1,284.000,27.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,30,138.0000,0,0,0.000,0.000,2,1,0.976183,-19.7100,1.10000,0.90000,1.10000,0.90000,1,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,31,138.0000,0,0,0.000,0.000,2,1,0.983812,-17.4640,1.10000,0.90000,1.10000,0.90000,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,32,138.0000,0,0,0.000,0.000,2,1,0.969883,-15.2375,1.10000,0.90000,1.10000,0.90000,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,33,138.0000,0,0,0.000,0.000,2,1,0.973809,-19.7580,1.10000,0.90000,1.10000,0.90000,1,23,0,12,1,112.000,0.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,34,138.0000,0,0,0.000,0.000,2,1,0.980033,-26.1159,1.10000,0.90000,1.10000,0.90000,1,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,35,138.0000,0,0,0.000,0.000,2,1,1.043025,-27.0886,1.10000,0.90000,1.10000,0.90000,1,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,36,138.0000,0,0,0.000,0.000,2,1,0.960641,-28.8273,1.10000,0.90000,1.10000,0.90000,1,11,0,13,1,102.000,-19.460,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,37,138.0000,0,0,0.000,0.000,1,1,0.955512,-11.7880,1.10000,0.90000,1.10000,0.90000,1,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,38,138.0000,0,0,0.000,0.000,2,1,0.988976,-18.7593,1.10000,0.90000,1.10000,0.90000,1,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,39,138.0000,0,0,0.000,0.000,2,1,0.991543,-39.2902,1.10000,0.90000,1.10000,0.90000,1,27,0,14,1,267.000,12.600,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,40,138.0000,0,0,0.000,0.000,2,1,1.044221,-13.6400,1.10000,0.90000,1.10000,0.90000,1,28,0,15,1,65.630,23.530,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,41,138.0000,0,0,0.000,0.000,3,1,0.999646,9.4272,1.10000,0.90000,1.10000,0.90000,1,13,0,16,1,1000.000,250.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,42,138.0000,0,0,0.000,0.000,4,1,0.998962,-0.8435,1.10000,0.90000,1.10000,0.90000,1,14,0,17,1,1150.000,250.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,43,138.0000,0,0,0.000,0.000,2,1,0.976498,-37.9088,1.10000,0.90000,1.10000,0.90000,1,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,44,138.0000,0,0,0.000,0.000,2,1,0.977489,-37.9863,1.10000,0.90000,1.10000,0.90000,1,30,0,18,1,267.550,4.840,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,45,138.0000,0,0,0.000,0.000,2,1,1.047090,-29.3626,1.10000,0.90000,1.10000,0.90000,1,31,0,19,1,208.000,21.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,46,138.0000,0,0,0.000,0.000,2,1,0.990317,-20.5314,1.10000,0.90000,1.10000,0.90000,1,32,0,20,1,150.700,28.500,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,47,138.0000,0,0,0.000,0.000,2,1,1.018401,-19.4976,1.10000,0.90000,1.10000,0.90000,1,33,0,21,1,203.120,32.590,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,48,138.0000,0,0,0.000,0.000,2,1,1.033745,-18.3761,1.10000,0.90000,1.10000,0.90000,1,34,0,22,1,241.200,2.200,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,49,138.0000,0,0,0.000,0.000,2,1,0.993615,-19.8196,1.10000,0.90000,1.10000,0.90000,1,35,0,23,1,164.000,29.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,50,138.0000,0,0,0.000,0.000,2,1,1.060245,-19.0521,1.10000,0.90000,1.10000,0.90000,1,36,0,24,1,100.000,-147.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,51,138.0000,0,0,0.000,0.000,2,1,1.063375,-27.2882,1.10000,0.90000,1.10000,0.90000,1,37,0,25,1,337.000,-122.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,52,138.0000,0,0,0.000,0.000,1,1,0.954538,-12.8334,1.10000,0.90000,1.10000,0.90000,1,38,0,26,1,158.000,30.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
